,GroupID,B0,E,Eh,El,Th,Tl,AIC,Converge
0,443,NA,NA,NA,NA,NA,NA,NA,N
0,444,NA,NA,NA,NA,NA,NA,NA,N
0,445,NA,NA,NA,NA,NA,NA,NA,F
0,446,NA,NA,NA,NA,NA,NA,NA,F
0,447,NA,NA,NA,NA,NA,NA,NA,N
0,448,NA,NA,NA,NA,NA,NA,NA,N
0,449,NA,NA,NA,NA,NA,NA,NA,F
0,450,NA,NA,NA,NA,NA,NA,NA,N
0,451,NA,NA,NA,NA,NA,NA,NA,N
0,452,NA,NA,NA,NA,NA,NA,NA,F
0,453,NA,NA,NA,NA,NA,NA,NA,N
0,454,NA,NA,NA,NA,NA,NA,NA,N
0,455,NA,NA,NA,NA,NA,NA,NA,N
0,456,NA,NA,NA,NA,NA,NA,NA,N
0,457,NA,NA,NA,NA,NA,NA,NA,N
0,458,NA,NA,NA,NA,NA,NA,NA,N
0,459,NA,NA,NA,NA,NA,NA,NA,F
0,460,NA,NA,NA,NA,NA,NA,NA,F
0,461,NA,NA,NA,NA,NA,NA,NA,N
0,462,NA,NA,NA,NA,NA,NA,NA,N
0,463,NA,NA,NA,NA,NA,NA,NA,N
0,464,NA,NA,NA,NA,NA,NA,NA,N
0,465,NA,NA,NA,NA,NA,NA,NA,F
0,466,NA,NA,NA,NA,NA,NA,NA,N
0,467,NA,NA,NA,NA,NA,NA,NA,N
0,468,NA,NA,NA,NA,NA,NA,NA,N
0,469,NA,NA,NA,NA,NA,NA,NA,N
0,470,NA,NA,NA,NA,NA,NA,NA,N
0,471,NA,NA,NA,NA,NA,NA,NA,N
0,472,NA,NA,NA,NA,NA,NA,NA,N
0,473,NA,NA,NA,NA,NA,NA,NA,N
