,GroupID,a,b,c,d,AIC,Converge
0,544,274554.14368952747,-2765.4923455577623,9.2845412317282,-0.010389293871251322,-8.177858144783599,Y
0,545,258820.88106838966,-2619.3377549489455,8.835026536259345,-0.009932074904040038,-11.443000125996413,Y
0,546,45521.88814449293,-466.5895485186716,1.593838563856086,-0.0018143163964463693,-5.9071465252286135,Y
0,547,397073.2140937387,-4021.0141682532762,13.572104299770166,-0.015268608850260738,3.1077631648336492,Y
0,548,-1531605.242167781,15483.743080680642,-52.18179483856256,0.05863388933294905,8.142268899380046,Y
0,549,-7764369.681499915,78442.65658288049,-264.13031228034987,0.296426590832401,23.48468614623694,Y
0,550,1556399.3995440127,-15433.737598793545,50.99628684811481,-0.05613568957558659,33.77658833379669,Y
0,551,2302310.437587228,-23213.237664800872,78.02166739413782,-0.08740795811273436,38.52634641711948,Y
0,552,1493118.1518952544,-15059.620444258431,50.62596976577038,-0.05672220860296327,13.268879919056685,Y
0,553,1449599.79943623,-14691.596868431023,49.62667930203302,-0.05586791025361735,24.536208102960273,Y
0,554,3391055.6603934597,-34092.85822598249,114.24356218553558,-0.1275947719864856,16.823330881110504,Y
0,555,2030320.4633465267,-20556.149489692307,69.36562695638486,-0.07801119650960438,27.827483184196005,Y
0,556,38130.741233986235,-456.0832199890975,1.7765552966630311,-0.0022641665276900776,15.971725864962835,Y
0,557,5811973.265642791,-58872.53945482423,198.76908643998811,-0.223679341669071,6.719980994253125,Y
0,558,1252.0964662216265,-12.180285337222594,0.039078786859462644,-4.122110302640967e-05,-57.95675413911617,Y
0,559,272975.28449627705,-2764.7153315894598,9.321216578805783,-0.010459534120018401,75.92760555994799,Y
0,560,-1999.2462890110755,20.98364780109328,-0.07341345259945446,8.564034180914095e-05,-11.147213639822233,Y
0,561,20736.32007289613,-221.0720243021261,0.7835168504679639,-0.0009227960156633784,-6.242239062773297,Y
0,562,1799.1917764187938,-21.181056461678935,0.08176689505124615,-0.00010367967486975053,-36.512864161448185,Y
0,563,-3966.314975472564,42.313279923394816,-0.15064858466966444,0.0001790140962181922,-27.32379799007346,Y
